algo vs matrices,time to train(sec),time to predict(sec),accuracy_score,precision_score,recall_score,f1_score,fbeta_score,matthews_corrcoef,jaccard_score,cohen_kappa_score,hamming_loss,zero_one_loss,mean_absolute_error,mean_squared_error,mean_squared_error,balanced_accuracy_score,explained_variance_score
DT,0.100,26.201,0.956,0.956,0.956,0.956,0.956,0.949,0.918,0.949,0.044,0.044,0.116,0.413,0.643,0.954,91.730
Linear Regression,0.020,1.636,0.375,0.417,0.375,0.334,0.346,0.319,0.255,0.275,0.625,0.625,1.411,4.063,2.016,0.261,18.781
Logistic Regression,0.065,100.503,0.630,0.660,0.630,0.605,0.612,0.578,0.516,0.568,0.370,0.370,1.129,4.891,2.212,0.512,5.779
KNN,190.802,0.237,0.954,0.955,0.954,0.954,0.954,0.947,0.914,0.946,0.046,0.046,0.127,0.485,0.697,0.957,90.297
Random Forest,6.393,455.041,0.968,0.968,0.968,0.968,0.968,0.963,0.940,0.963,0.032,0.032,0.085,0.299,0.546,0.967,94.028
MLP,0.719,2741.998,0.855,0.857,0.855,0.851,0.854,0.833,0.763,0.832,0.145,0.145,0.434,1.881,1.371,0.841,62.396
Bagging,1.132,182.204,0.964,0.964,0.964,0.964,0.964,0.958,0.933,0.958,0.036,0.036,0.094,0.336,0.580,0.964,93.267
J48,0.096,37.721,0.957,0.957,0.957,0.957,0.957,0.951,0.921,0.951,0.043,0.043,0.113,0.408,0.639,0.956,91.840
ANN,24.181,379.456,0.695,0.707,0.695,0.679,0.682,0.650,0.575,0.645,0.305,0.305,1.081,5.239,2.289,0.616,-4.532
DNN,21.231,395.193,0.787,0.784,0.787,0.775,0.776,0.755,0.674,0.753,0.213,0.213,0.657,2.916,1.708,0.747,41.730
Gradient Boosting,5.096,4567.992,0.898,0.900,0.898,0.897,0.898,0.883,0.828,0.882,0.102,0.102,0.292,1.199,1.095,0.893,76.005
XGBoost,1.707,66.460,0.955,0.955,0.955,0.955,0.955,0.948,0.917,0.948,0.045,0.045,0.122,0.447,0.669,0.956,91.059
Gaussian Naive Bayes,0.566,0.727,0.534,0.637,0.534,0.517,0.552,0.502,0.442,0.465,0.466,0.466,1.741,8.752,2.958,0.441,-62.995
Adaptive Gradient Boosting,19.535,1648.827,0.815,0.820,0.815,0.816,0.818,0.786,0.718,0.786,0.185,0.185,0.536,2.248,1.499,0.785,55.053
QDA,0.624,1.209,0.075,0.006,0.075,0.010,0.007,0.000,0.006,0.000,0.925,0.925,4.279,23.309,4.828,0.111,0.000
SNN,18.032,357.320,0.842,0.842,0.842,0.838,0.840,0.818,0.747,0.818,0.158,0.158,0.482,2.124,1.457,0.825,57.525
RBM,23.793,324.723,0.244,0.060,0.244,0.096,0.070,-0.000,0.060,-0.000,0.756,0.756,1.796,5.517,2.349,0.111,-0.000
LSTM,56.177,2463.777,0.860,0.864,0.860,0.858,0.861,0.839,0.770,0.838,0.140,0.140,0.437,1.934,1.391,0.851,61.311
reconstruction_NN,21.753,357.612,0.795,0.795,0.795,0.786,0.788,0.765,0.685,0.763,0.205,0.205,0.638,2.826,1.681,0.762,43.637
DANN,24.382,356.610,0.799,0.799,0.799,0.792,0.795,0.769,0.690,0.768,0.201,0.201,0.633,2.834,1.683,0.766,43.400
DBN,2.706,1090.318,0.517,0.473,0.517,0.441,0.441,0.497,0.391,0.420,0.483,0.483,1.307,4.526,2.128,0.325,11.586
DBM,25.368,390.669,0.834,0.833,0.834,0.828,0.830,0.809,0.736,0.808,0.166,0.166,0.494,2.152,1.467,0.813,56.938
DA,30.436,718.346,0.860,0.861,0.860,0.855,0.857,0.839,0.770,0.838,0.140,0.140,0.427,1.873,1.369,0.846,62.512
